,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,FAVPELOSI,HEALTHCARE18,IMPEACH18,MUELLERAPP,RUSSIA18,TRUMPIMM,RELIGN18,RACEFACTOR,ISSUE18,RACE18
4064,31336,1,3.0,1,1.0,6,3,2,5,2.0,2,1,1,2,7,1,4,1,1,Version 2,.4848473072052,1,1,6,1,1,1,1,1,2,6.0,1,4,1
4067,31346,1,2.0,1,,5,7,1,5,2.0,5,3,3,1,4,2,2,1,3,Version 2,.483465254306793,3,2,11,1,1,1,2,1,2,2.0,1,1,1
4072,31353,1,1.0,2,1.0,6,3,13,4,2.0,2,1,2,2,7,1,4,3,3,Version 2,.506381630897522,2,1,30,1,1,1,1,1,2,2.0,1,4,1
4075,31358,1,3.0,1,1.0,3,2,26,4,2.0,2,1,1,2,7,1,4,2,3,Version 2,.489628046751022,1,1,30,1,1,1,1,1,2,6.0,1,1,1
4083,31376,1,1.0,2,,8,8,3,2,2.0,5,3,4,2,6,2,2,1,3,Version 2,.870435476303101,4,2,11,1,1,1,1,1,2,3.0,1,1,1
4086,31379,2,2.0,2,2.0,7,4,21,3,2.0,1,2,6,3,1,1,4,5,3,Version 2,4.42066669464111,2,1,30,2,1,2,2,2,3,1.0,2,1,2
4091,31388,1,1.0,1,1.0,2,1,2,4,2.0,2,1,1,2,7,1,4,1,1,Version 2,.561103880405426,1,1,30,2,1,1,1,1,2,7.0,1,3,1
4093,31391,1,,1,,7,4,3,2,2.0,3,3,3,3,3,1,3,3,3,Version 2,.956955790519714,1,1,15,2,1,1,1,1,3,3.0,3,3,3
4101,31406,1,1.0,1,1.0,7,4,26,4,2.0,2,1,1,2,7,1,4,2,3,Version 2,.750884354114532,1,1,30,1,1,1,1,1,2,2.0,1,1,1
4106,31419,1,2.0,2,,3,2,6,5,2.0,1,2,6,1,2,1,2,1,2,Version 2,.508285343647003,2,1,11,2,1,2,1,1,2,1.0,1,1,2
4119,31444,1,3.0,2,1.0,7,4,20,5,2.0,3,3,4,2,6,1,4,2,3,Version 2,.913862586021423,2,1,30,1,1,1,1,1,2,2.0,1,4,1
4122,31451,1,1.0,1,1.0,7,4,11,2,2.0,3,3,3,2,6,1,4,3,3,Version 2,.983917415142059,1,1,30,1,1,1,1,1,2,7.0,1,4,1
4127,31456,2,2.0,2,2.0,6,3,5,5,2.0,1,2,6,3,1,1,4,5,3,Version 2,.540288507938385,2,1,6,2,1,2,2,2,1,1.0,3,3,4
4128,31458,2,,2,2.0,4,2,3,1,2.0,3,3,4,3,3,1,2,5,3,Version 2,1.70056438446045,2,1,12,2,1,2,2,2,3,1.0,3,2,4
4131,31463,1,,2,,4,6,3,2,2.0,5,3,4,1,4,2,3,3,3,Version 2,.43253430724144,4,2,15,1,1,2,1,1,2,7.0,1,1,2
4132,31464,1,,2,1.0,4,2,8,1,2.0,2,1,2,2,7,1,2,2,3,Version 2,1.19980895519257,2,1,12,1,1,2,2,2,3,7.0,1,2,1
4133,31468,1,3.0,1,1.0,7,4,26,1,2.0,2,1,1,3,5,1,4,2,3,Version 2,.750884354114532,1,1,30,2,2,2,3,2,1,2.0,3,3,2
4143,31488,1,1.0,1,,8,4,3,2,2.0,2,1,1,3,5,1,2,1,1,Version 2,.998587846755981,1,1,11,1,1,1,1,2,2,6.0,2,1,1
4144,31489,1,,1,1.0,6,3,9,4,2.0,3,3,3,1,4,1,4,1,1,Version 2,.505089402198792,1,1,28,1,2,1,1,1,2,2.0,1,3,1
4146,31492,2,,1,2.0,8,4,5,4,2.0,1,2,5,3,1,1,4,1,1,Version 2,1.27448451519012,1,1,28,2,1,2,1,2,1,1.0,3,2,3
4148,31498,1,1.0,1,1.0,3,2,26,5,2.0,2,1,1,2,7,1,4,2,3,Version 2,.496156394481659,1,1,30,3,1,1,2,1,2,1.0,1,1,1
4158,31523,1,1.0,1,1.0,7,4,21,1,,3,3,3,1,4,1,4,5,3,Version 2,2.59396409988403,1,1,30,3,1,1,1,1,2,1.0,1,1,1
4162,31528,1,2.0,1,1.0,1,1,8,2,2.0,3,4,3,1,4,1,2,1,1,Version 2,.413630723953247,1,1,33,2,1,2,1,2,2,6.0,1,1,2
4166,31537,1,1.0,1,1.0,6,7,26,1,2.0,4,1,1,1,5,2,4,2,3,Version 2,.55352246761322,3,2,30,1,3,1,1,2,3,6.0,1,1,1
4177,31554,1,1.0,2,1.0,4,6,15,2,2.0,4,1,2,1,5,2,4,3,3,Version 2,.451943904161453,4,2,30,3,1,1,1,2,2,3.0,1,1,1
4178,31558,2,2.0,2,2.0,4,2,2,2,2.0,1,2,6,1,2,1,4,1,2,Version 2,1.54674887657166,2,1,30,2,1,2,1,2,1,1.0,2,2,2
