,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ELECTSECFOREIGN18,KAVANAUGH18,TRUMP4,VOTE2016,TRUMPFP18,CONTROLHOUSE,VETVOTER,FTVOTER18,ABORTION18
12042,51932,2,2.0,2,2.0,6,3,11,1,2.0,3,3,4,3,3,1,2,1,2,Version 1,0.8054998517036441,2,1,20,3,1,3,2,1,2,2.0,2.0,1
12043,51935,2,2.0,2,2.0,2,1,30,5,2.0,1,2,6,3,1,1,3,3,3,Version 1,0.706394135951996,2,1,41,1,1,4,4,1,2,2.0,1.0,1
12061,51980,1,1.0,1,,5,3,3,5,2.0,2,1,1,2,7,1,2,1,1,Version 1,0.40869140625,1,1,14,2,2,1,1,2,1,2.0,2.0,1
12065,51989,1,,1,1.0,8,4,6,5,2.0,2,1,1,1,5,1,2,5,3,Version 1,0.762270629405975,1,1,23,2,2,1,1,3,1,2.0,2.0,1
12082,52028,2,2.0,1,,3,13,3,2,2.0,1,2,5,3,1,4,2,1,3,Version 1,0.6643084883689879,7,2,14,1,3,3,2,1,2,2.0,2.0,2
12084,52037,2,,2,,8,4,5,1,2.0,1,2,6,1,2,1,3,1,2,Version 1,1.0112156867981,2,1,16,1,1,3,2,1,2,1.0,2.0,2
12086,52040,2,2.0,1,2.0,6,3,4,4,2.0,1,2,5,3,1,1,4,1,1,Version 1,0.80070561170578,1,1,18,3,1,4,3,1,2,2.0,2.0,2
12087,52041,2,2.0,1,2.0,6,3,4,4,2.0,1,2,5,3,1,1,4,1,1,Version 1,0.80070561170578,1,1,18,3,1,4,3,1,2,2.0,2.0,2
12089,52047,1,1.0,1,1.0,1,9,25,2,1.0,6,1,1,2,7,3,3,3,3,Version 1,0.8207398056983951,5,2,41,2,2,1,4,3,1,2.0,1.0,1
12091,52051,1,1.0,2,1.0,3,2,6,4,2.0,2,1,2,2,7,1,2,1,2,Version 1,0.484851121902466,2,1,21,2,2,1,1,3,1,1.0,1.0,1
12092,52052,1,1.0,2,1.0,3,2,6,4,2.0,2,1,2,2,7,1,2,1,2,Version 1,0.484851121902466,2,1,21,2,2,1,1,3,1,1.0,1.0,1
12101,52079,2,2.0,2,,5,3,3,5,2.0,1,2,6,1,2,1,2,1,2,Version 1,0.7603053450584408,2,1,14,1,1,4,2,1,2,2.0,2.0,2
12107,52092,1,1.0,2,,6,7,1,3,2.0,1,2,6,1,2,2,3,2,3,Version 1,0.0746796503663063,4,2,3,1,2,3,1,3,1,1.0,2.0,1
12122,52127,1,,2,1.0,2,1,6,1,2.0,2,1,2,2,7,1,2,5,3,Version 1,0.42029264569282504,2,1,23,3,2,1,4,3,1,2.0,1.0,1
12123,52129,2,2.0,1,2.0,7,4,1,4,2.0,1,2,5,3,1,1,2,5,3,Version 1,0.486735582351685,1,1,25,1,1,3,2,1,2,2.0,2.0,3
12127,52136,2,2.0,1,2.0,6,3,6,4,2.0,1,2,5,2,2,1,3,1,1,Version 1,1.0488189458847,1,1,40,1,1,4,2,1,2,2.0,2.0,1
12130,52148,2,2.0,2,,8,13,1,4,2.0,8,3,4,3,3,6,3,1,3,Version 1,0.922063708305359,7,2,34,2,1,3,2,1,2,1.0,2.0,2
12136,52165,2,,1,2.0,6,3,7,1,2.0,1,2,5,2,2,1,2,2,3,Version 1,0.5476533770561219,1,1,23,1,1,3,2,1,2,2.0,2.0,2
12155,52215,1,1.0,2,1.0,6,3,13,2,2.0,2,1,2,2,7,1,2,1,2,Version 1,0.9312626719474789,2,1,20,1,2,1,1,3,1,2.0,2.0,1
